242,226,225
242,226,223
243,226,221
243,226,219
244,226,215
244,226,210
243,227,206
240,228,202
245,229,172
242,231,141
235,233,139
229,235,139
220,238,141
217,237,171
216,235,203
211,236,209
207,237,214
206,237,218
205,237,221
204,237,224
204,237,226
204,236,229
205,236,233
207,235,235
210,234,237
213,233,239
216,232,239
218,232,240
222,231,240
225,230,240
228,229,240
230,228,239
232,228,239
233,227,238
236,227,235
237,227,233
239,226,232
240,226,230
240,226,228
241,226,227
249,186,186
250,186,179
251,186,171
250,187,161
248,189,153
243,191,145
248,191,113
255,190,0
245,195,0
227,202,0
213,206,0
202,210,0
186,214,0
172,217,65
146,221,92
140,221,135
121,223,155
135,219,177
132,220,184
130,219,191
129,219,197
155,214,204
156,213,209
157,213,214
159,212,219
165,210,223
170,209,226
177,207,228
172,206,245
182,203,247
198,201,229
204,199,227
209,198,226
213,196,223
229,190,227
235,189,221
240,187,213
244,186,205
246,186,199
248,186,192
235,152,154
236,152,146
249,146,124
247,149,109
242,152,95
250,150,0
238,157,0
226,163,0
211,170,0
198,175,0
187,179,0
176,182,0
160,187,0
140,191,0
119,194,68
94,197,94
61,199,121
84,195,147
78,196,156
72,196,164
67,195,172
63,195,182
105,190,187
107,189,195
110,188,201
117,186,208
127,184,211
120,184,229
137,180,231
150,177,232
170,173,217
179,170,215
187,168,212
194,166,208
211,158,210
218,156,202
236,148,197
241,146,182
232,152,172
234,152,163
232,109,120
233,110,106
232,112,89
239,108,48
235,112,0
213,127,20
204,133,0
193,138,0
180,144,0
169,148,0
159,152,0
149,155,0
135,159,0
118,162,0
77,169,0
22,172,50
3,171,99
0,172,118
0,172,128
0,172,137
18,168,147
3,168,158
3,167,167
18,166,177
33,164,186
58,162,194
78,159,199
72,158,215
98,154,218
118,150,219
143,145,203
156,141,201
167,138,197
175,135,192
193,126,193
200,123,183
206,121,171
212,120,157
227,110,147
230,109,133
215,67,93
215,69,75
214,72,55
215,72,0
197,90,0
182,101,0
169,109,0
161,113,0
149,118,10
140,122,0
132,125,0
123,128,0
111,131,0
98,134,20
63,139,3
0,145,18
0,147,68
0,144,94
0,144,104
0,144,113
0,144,123
0,140,134
0,140,142
0,138,152
0,137,160
16,135,168
48,132,172
37,131,189
50,128,206
81,123,206
117,117,190
135,111,187
147,107,181
156,103,175
166,99,166
182,88,164
190,84,152
197,81,135
211,68,123
213,67,108
185,27,72
185,32,53
182,39,34
177,49,0
154,73,16
141,82,27
135,86,13
124,91,32
117,94,25
111,96,19
104,99,16
97,101,15
88,103,22
78,105,31
50,110,17
24,112,40
0,117,55
0,117,71
0,117,81
0,117,90
0,114,99
0,114,110
0,113,118
0,109,120
18,107,126
0,108,143
0,106,147
0,104,162
41,101,165
55,96,178
93,88,177
111,84,160
123,79,154
131,76,148
139,72,140
154,60,139
161,55,127
167,51,112
171,49,100
184,28,87
137,26,56
137,28,44
146,6,23
133,37,17
118,52,14
106,60,24
101,63,17
96,66,7
86,70,31
82,72,29
77,73,28
72,75,29
66,76,31
60,78,36
41,82,26
27,83,38
0,87,44
0,87,54
0,89,60
0,87,68
0,84,74
0,84,82
0,83,89
0,83,96
0,82,101
0,80,106
11,79,110
0,78,125
0,75,140
38,71,141
73,60,152
89,56,136
100,51,129
108,47,124
114,43,117
120,38,110
126,34,100
130,30,89
133,28,78
136,26,67
96,16,47
97,16,38
96,19,29
85,32,27
75,40,29
72,41,23
69,43,18
59,47,33
56,48,32
54,49,32
52,50,32
49,51,33
47,51,35
45,52,38
32,55,26
26,56,32
21,56,38
0,59,38
0,59,42
0,59,47
9,56,51
7,56,56
6,56,59
7,55,64
10,55,67
15,54,70
0,55,85
0,53,87
21,51,89
24,48,103
53,37,112
63,37,96
71,33,91
76,30,87
72,36,74
75,34,71
88,22,72
90,20,66
92,19,60
94,17,54
