R,G,B
0.3764,0.3902,0.2997
1,0.8621,0.6252
0.1839,0.5382,0.4563
0.1248,0.5281,0.5896
0.8345,0.7789,0.7942
0.354,0.45,0.8559
0.6325,0.7097,0.6223
0.7102,0.6996,0.4733
0.8879,0.8986,0.9396
0.4604,0.201,0.2391
0.1582,0.7547,0.8257
0.8536,0.612,0.79
0.5054,0.3093,0.5183
0.4718,0.2968,0.6431
0.3247,0.3994,0.3483
0.4047,0.306,0.7176
0.3912,0.8783,0.7085
0.8804,0.4569,0.4864
0.146,0.0574,0.276
0.0217,0.1353,0.0075
1,0.5228,0.613
0.4552,0.3588,0.3475
0.9134,0.7887,0.2113
0.9209,0.595,0.673
0.8049,0.785,0.8241
0.9097,0.7791,0.4851
0.6749,0.4127,0.3735
0.8984,0.9281,0.5564
0.5501,0.4625,0.4496
1,0.6942,0.6659
0.9596,0.884,0.867
0.966,0.888,0.8076
0.4472,0.6259,0.5016
0.3455,0.1138,0.1579
0.3112,0.4098,0.2538
0.2178,0.3094,0.1739
0.4387,0.4726,0.6428
0.3561,0.0773,0.2569
0.3302,0.07,0.3537
0.7825,0.7745,0.9563
0.6271,0.6925,0.79
0.2973,0.1466,0.1994
0.7063,0.365,0.5735
0.5831,0.7268,0.5625
0.8172,0.4908,0.5388
0.7914,0.7883,0.8309
0.5844,0.5789,0.6304
0.6437,0.7223,0.4082
0.3948,0.4923,0.5847
0.5405,0.3091,0.4073
1,0.644,0.8955
0.1491,0.0924,0.1575
0.5429,0.7141,0.7775
0.1498,0.1057,0.0292
0.8386,0.7782,0.7882
0.8083,0.2219,0.7206
0.6183,0.6771,0.9113
0.1638,0.0652,0.2294
0.5481,0.1142,0.1191
0.7603,0.5169,0.5743
0.7066,0.8198,0.7545
0.3064,0.1489,0.1329
0.6738,0.9896,0.3244
0.495,0.1315,0.3896
0.405,0.5033,0.4716
0.4925,0.7163,0.8378
0.7557,0.6691,0.6534
0.104,0.1072,0.1699
0.7176,0.5478,0.469
0.4583,0.2109,0.1621
0.3177,0.2857,0.1132
0.8724,0.7609,0.8363
0.4909,0.731,0.7189
0.9681,0.4117,0.1856
0.5643,0.4759,0.1701
0.874,0.7403,0.9777
0.1617,0.086,0.5536
0.817,0.8049,0.5693
0.411,0.4965,0.5214
0.534,0.298,0.492
0.6167,0.712,0.64
0.0437,0.112,0.2117
0.8313,0.498,0.3869
0.1489,0.4906,0.807
0.0506,0.3144,0.3449
0.7949,0.9281,0.8997
0.5509,0.3306,0.0533
0.781,0.6528,0.7154
0.4417,0.3594,0.3892
0.882,0.4708,0.3265
0.5399,0.5761,0.7446
0.3351,0.116,0.2038
0.2525,0.7681,0.6435
0.6666,0.1645,0.5161
0.3339,0.5215,0.4302
0.5136,0.4681,0.5137
0.5004,0.3219,0.4657
0.4806,0.364,0.1027
0.7641,0.3453,0.4329
1,0.5322,0.4401
0.2727,0.2796,0.3458
0.4318,0.2332,0.0964
0.2461,0.247,0.9789
0.1843,0.2065,0.0472
0.3037,0.522,0.4786
0.8216,0.2681,0.5373
0.7219,0.8082,0.8276
0.3113,0.9935,0.9629
0.7157,0.4528,0.9975
0.3688,0.2423,0.3483
0.511,0.8614,0.7241
0.7515,0.3488,0.4756
0.2965,0.0696,0.4253
0.1275,0.0913,0.2068
0.3829,0.8893,0.5685
0.0964,0.7828,0.5567
0.9473,0.9242,0.2909
0.2918,0.1482,0.2121
0.9419,0.8862,0.9009
0.2008,0.1975,0.1317
0.9323,0.5934,0.6364
0.9353,0.7509,0.7137
0.342,0.6194,0.7263
0.2516,0.1776,0.1457
0.5403,0.2509,0.6502
0.9255,0.7615,0.6434
0.4211,0.8779,0.6717
0.7,0.0796,0.5353
0.743,0.3142,0.6679
0.2894,0.5451,0.0381
0.0531,0.1253,0.1164
0.5812,0.5571,0.786
1,0.6964,0.6201
0.2287,0.1767,0.2343
0.6588,0.1384,0.595
0.594,0.7124,0.692
0.3179,0.3926,0.4272
0.8344,0.4921,0.4343
0.4948,0.7324,0.6989
0.9838,0.7633,0.0384
0.8591,0.7782,0.7227
0.4228,0.7509,0.6274
0.1243,0.3177,0.2569
0.6175,0.4382,0.4119
0.6775,0.5484,0.6149
0.9546,0.3828,0.5752
0.4458,0.3664,0.3069
0.6611,0.3396,0.7965
0.4949,0.9942,0.7649
0.6414,0.8208,0.8839
0.6471,0.5467,0.7102
0.8206,0.6467,0.6321
0.6105,0.4378,0.4457
1,0.5138,0.8098
0.7064,0.9534,0.8451
0.4374,0.3329,0.5623
0.373,0.0126,0.3028
0.2199,0.1918,0.1247
0.6857,0.2204,0.0697
0.0637,0.1247,0.1045
0.9804,0.5901,0.3725
0.4646,1,0.6507
0.279,0.6184,0.7897
0.9906,0.5919,0.203
0.8843,0.631,0.5036
0.2806,1,0.7865
0.1616,0.3155,0.2267
0.684,0.7067,0.4832
0.9779,0.3793,0.4531
0.8915,0.0262,0.6707
0.6243,0.5688,0.6075
0.0463,0.1253,0.1252
0.8793,0.6215,0.6259
0.4281,0.2643,0.7997
0.6059,0.4383,0.4597
0.4254,0.628,0.5261
0.5221,0.7194,0.7689
0.6802,0.6611,0.8993
0.1501,0.1177,0.516
0.6995,0.1326,0.4507
0.4847,0.4599,0.6365
0.6731,0.7245,0.0435
0.4323,0.5142,0.2198
0.3351,0.2794,0.1163
0.6905,0.515,0.7924
0.7811,0.7911,0.8336
0.8166,0.6566,0.5464
0.8145,0.1259,0.8452
0.6814,0.7133,0.3833
0.3517,0.2726,0.1233
1,0.2857,0.6519
0.4036,0.4989,0.5154
0.3934,0.3354,0.6274
0.4561,0.2008,0.2646
0.9459,0.8856,0.8946
0.4193,0.494,0.5259
0.6417,0.445,0.1046
0.6054,0.5953,0.3796
0.5624,0.4707,0.296
0.374,0.744,0.7628
0.7606,0.7893,0.8964
0.7571,0.7978,0.8349
0.1006,0.5321,0.5671
0.5481,0.4624,0.4576
0.2114,0.0561,0.1209
0.1415,0.1556,0.4395
0.4783,0.4915,0.394
0.7057,0.9382,0.9902
0.5164,0.6073,0.5397
0.54,0.463,0.4789
0.6079,0.7129,0.6537
0.2957,0.5169,0.537
0.9823,0.3911,0.3034
