R,G,B
0.33,0.4113,0.1266
0.7692,0.5017,0.651
0.8499,0.8013,0.4597
0.4029,0.6192,0.6517
0.6445,0.529,0.8181
0.4704,0.4793,0.5337
0.8623,0.9373,0.5718
0.4559,0.3595,0.3377
0.6956,0.8196,0.7829
0.3135,0.4004,0.3649
0.6198,0.8265,0.8749
0.2403,0.1557,0.3169
0.6782,0.6512,0.9602
0.5651,0.4059,0.7522
0.4135,0.2452,0.0666
0.1716,0.0737,0.1849
0.3016,0.2433,0.4842
0.7005,0.1779,0.2912
0.3498,0.2666,0.2237
0.708,0.2736,0.8679
0.5892,0.2222,0.6131
0.5333,0.437,0.6691
0.3227,0.3829,0.4897
0.5259,0.3409,0.1562
0.0528,0.3164,0.3274
0.8071,0.4923,0.5725
0.1609,0.1779,0.346
0.439,0.6411,0.2738
0.5287,0.2143,0.7581
0.9373,0.7671,0.5097
0.5336,0.7415,0.5049
0.4046,0.1884,0.4834
0.9334,0.8778,0.9934
0.5491,0.7312,0.5992
0.2369,0.639,0.6668
0.8967,0.4076,0.7087
0.2179,0.0549,0.0904
0.911,0.8925,0.9314
0.6678,0.5321,0.7505
0.7337,0.2251,0.9051
0.4246,0.1017,0.6136
0.968,0.3805,0.512
0.1362,0.2031,0.2369
0.1316,0.2071,0.2115
0.2237,0.3007,0.2707
0.5472,0.7461,0.3748
1,0.4707,0.8324
1,0.0149,0.6737
1,0.1834,0.665
0.1362,0.6606,0.5153
0.2528,0.6347,0.6906
0.8173,0.4581,0.7411
0.4308,0.3839,0.0679
0.365,0.6501,0.3456
0.0431,0.6611,0.5459
0.6564,0.972,0.7391
0.0569,0.1188,0.163
0.2824,0.1678,0.0695
0.6461,0.1038,0.6773
0.2797,0.2918,0.2136
1,0.5627,0.5412
0.6314,0.5675,0.5985
0.519,0.6268,0.1944
0.4177,0.3643,0.4208
0.7608,0.5361,0.3725
1,0.6069,0.9171
0.0555,0.3121,0.3609
0.3888,0.6109,0.7353
1,0.4971,0.3923
0.3961,0.2344,0.307
1,0.4477,0.7411
0.3438,0.2697,0.2166
0.2909,0.7675,0.6122
1,0.5478,0.3576
0.5071,0.3336,0.3623
0.391,0.9958,0.8749
1,0.4957,0.9053
0.8714,0.4579,0.5285
1,0.6781,0.8734
0.4244,0.4848,0.5868
0.4347,0.5002,0.4295
0.3129,0.2679,0.3359
0.9087,0.7538,0.7822
0.7568,0.6957,0.2407
0.5243,1,0.4701
0.318,0.4001,0.3573
0.4339,0.3609,0.4013
1,0.8401,0.6874
0.3367,0.2522,0.3755
0.8562,0.7806,0.7086
1,0.8286,0.7593
0.7097,0.812,0.8218
0.7413,0.6709,0.6834
0.5162,0.2792,0.6145
0.2917,0.2659,0.3943
0.5494,0.466,0.4168
0.9866,0.5632,0.6251
0.2326,0.4182,0.3337
0.4543,0.3585,0.3538
0.2019,0.1857,0.7264
0.3936,0.6288,0.5771
0.8957,0.7908,0.3512
0.0926,0.4339,0.3128
0.7353,0.787,0.9651
0.399,0.3904,0.1898
0.6699,0.4294,0.1526
0.4308,0.4906,0.5303
1,0.3816,0.0775
0.9354,0.6106,0.4388
1,0.4808,0.6026
0.0384,0.1245,0.1405
0.2697,0.875,0.8558
0.972,0.9117,0.4291
0.7292,0.6937,0.4725
0.366,0.3925,0.3071
0.511,0.3336,0.346
0.2573,0.1706,0.1873
0.753,0.548,0.2124
0.1612,0.2112,0.0738
0.8486,0.7575,0.9244
0.6829,0.677,0.7867
0.5818,0.5649,0.7369
0.1764,0.5217,0.6102
0.2019,0.0418,0.2016
0.4509,0.5046,0.3174
0.2177,0.1497,0.3765
0.7382,0.1324,0.1287
0.9242,0.8896,0.9209
0.6631,0.4109,0.4495
0.156,0.1977,0.2455
0.9551,0.0331,0.24
0.3336,0.8783,0.7729
0.2817,0.4143,1
0.1081,0.2183,0.1266
0.0282,0.2216,0.1861
0.856,0.5997,0.8576
0.2654,0.3425,0.7413
0.3003,0.3987,0.4083
0.4433,0.0138,0.6465
0.5588,0.5862,0.632
0.0844,0.1126,0.1684
0.5512,0.3067,0.3793
0.8261,0.4895,0.5058
0.2282,0.3004,0.2645
0.4786,0.1676,0.3327
0.6651,0.5745,0.3929
0.2207,0.0546,0.0725
0.1302,0.2065,0.2191
0.7451,0.5451,0.3462
0.332,0.263,0.3191
0.5523,0.4639,0.4274
0.5983,0.2735,0.3815
0.292,0.2886,0.2068
0.1321,0.5506,0.3383
0.6156,0.4374,0.4285
0.7283,0.3836,0.3328
0.7762,0.5406,0.063
0.9141,0.6244,0.396
0.421,0.2122,0.3476
0.6128,0.1024,0.7557
0.9239,0.9051,0.7699
0.096,0.2957,0.4475
1,0.3576,0.8788
0.4135,0.3796,0.2875
1,0.7194,0.2336
0.5991,0.8326,0.858
1,0.863,0.9264
1,0.6616,0.6322
1,0.9004,0.4396
0.3088,0.4007,0.3722
0.7864,0.7824,0.8905
0.7688,0.8175,0.5903
1,0.4816,0.5418
0.3272,0.1197,0.2216
0.4016,0.5033,0.4794
0.17,0.204,0.1584
0.9347,0.9177,0.5477
0.5737,0.3156,0.1064
1,0.8559,0.8535
0.7755,0.2742,0.6938
0.1436,0.1396,0.4777
0.6914,0.5456,0.5931
1,0.2547,0.4976
1,0.4561,0.3405
0.7809,0.831,0.2082
0.4778,0.7477,0.5608
0.9837,0.9123,0.297
0.5459,0.4624,0.4651
0.4004,0.2199,0.3749
0.1481,0.0838,0.199
0.9225,0.5506,0.929
0.616,0.8411,0.7441
0.5919,0.4087,0.6845
0.6978,0.8199,0.7753
0.9001,0.1751,0.4175
0.2714,0.4214,0.1786
0.9958,0.5624,0.5835
1,0.4092,0.9657
1,0.8974,0.1138
0.922,0.421,0.5194
0.439,0.3769,0.1907
0.3697,0.3776,0.438
0.5036,0.7246,0.7547
0.6375,0.3661,0.759
0.264,0.4891,0.7517
0.3783,0.8479,1
0.2004,0.2437,0.5926
0.5127,0.5996,0.6219
0.132,0.1945,0.2983
1,0.2527,0.4225
0.3029,0.1529,0.1136
0.2704,0.6571,0.4278
0.5008,0.1771,0.1171
0.5339,0.9726,0.9452
0.1072,0.1187,0.0602
0.1956,0.2077,0.6877
0.84,0.5034,0.2067
0.7533,0.8279,0.493
0.2698,0.5356,0.3733
0.6841,0.5662,0.409
0.4822,0.6214,0.4676
0.669,0.4104,0.4264
0.307,0.1288,0.2572
0.5049,0.3523,0.1279
0.6502,0.5652,0.5597
0.521,0.4665,0.5065
0.2775,0.108,0.3912
0.1952,0.228,0.6405
0.7777,0.3454,0.3429
0.7426,0.5094,0.6872
0.355,0.3819,0.4371
0.1728,0.0926,0.0615
0.305,0.1113,0.3241
0.4738,0.8592,0.8057
0.5031,0.4705,0.5225
0.566,0.1184,0.8282
0.1248,0.3246,0.1504
0.4303,0.8929,0.3899
0.7973,0.9296,0.8794
0.4919,0.3366,0.3979
0.964,0.7288,0.8027
0.824,0.6516,0.5693
0.3195,0.7824,0.3021
0.3096,0.6452,0.5292
0.1897,0.2002,0.1396
0.587,0.5065,1
0.4483,0.2024,0.2928
0.8943,0.5874,0.8183
0.5288,0.3368,1
1,0.6889,0.9271
0.3126,0.2822,0.204
0.745,0.95,0.7924
0.5368,0.4724,0.3978
0.9237,0.7516,0.7503
1,0.8749,0.5951
0.1914,0.3127,0.1991
0.0665,0.1944,0.35
0.7453,0.4965,0.7534
0.3088,0.3953,0.4218
0.3731,0.3974,0.2023
0.4956,0.8613,0.7515
0.3186,0.1237,0.2383
0.8863,0.9455,0.0519
0.827,0.6483,0.5907
0.9244,0.6261,0.257
0.4378,0.2058,0.3189
0.4505,0.1123,0.5499
0.303,0.2854,0.2041
1,0.4857,0.6725
0.6052,0.7067,0.719
0.8075,0.6619,0.5266
0.4025,0.4635,0.745
0.3584,0.2354,0.4111
0.5744,0.8649,0.5336
0.617,0.273,0.2752
0.7459,0.6524,0.8135
0.6959,0.6804,0.7288
0.5221,0.5726,0.7965
0.7442,0.679,0.594
0.8402,0.2583,0.4812
0.0377,0.1238,0.1465
0.5884,0.1713,0.7207
0.4772,0.3298,0.4866
0.4965,0.0953,0.4604
0.9839,0.9014,0.5547
1,0.8605,0.762
0.6447,0.5657,0.5729
0.3831,0.0565,0.1817
0.5287,0.4648,0.4978
0.7432,0.8019,0.8333
0.9299,0.751,0.7332
0.0984,0.1204,0.0696
0.0252,0.3287,0.1995
0.5759,0.4444,0.516
0.6383,0.392,0.6496
0.6578,0.2773,0.9547
0.9306,0.5628,0.8445
0.1452,0.2005,0.2424
0.4859,0.8605,0.7746
0.8419,0.7778,0.7824
0.3234,0.2783,0.2057
0.7825,0.2137,0.8108
1,0.5671,0.2842
0.6519,0.8538,0.4604
0.3857,0.0734,0.072
0.5315,0.1035,0.3056
0.5654,0.2711,0.5175
1,0.8416,0.9765
0.397,0.6515,0.1689
0.6573,0.2316,0.3033
1,0.4364,0.6746
0.9871,0.8654,0.9457
1,0.6942,0.7015
0.2486,0.6442,0.6097
0.9553,0.5703,0.7125
0.8873,0.5778,0.8915
1,0.246,0.7704
0.3533,0.5198,0.4086
0.216,0.3009,0.2855
0.9968,0.5766,0.4263
0.0835,0.2864,0.4997
0.4972,0.4006,0.8786
0.2854,0.1503,0.2238
0.4141,0.5116,0.3488
0.6102,0.7392,0.1514
1,0.8989,0.3143
1,0.8551,0.8116
0.4828,0.4758,0.5317
0.08,0.3087,0.3741
0.3415,0.1138,0.182
0.2101,0.1949,0.1271
0.8014,0.3037,0.4784
0.5518,0.4629,0.4393
0.7478,0.5196,0.6001
0.5452,0.091,0.2601
0.4949,0.6073,0.591
0.7787,0.5222,0.4391
0.7013,0.8201,0.7651
1,0.8308,0.9094
0.3887,0.0543,0.1479
0.2383,0.1844,0.1309
0.2932,0.5195,0.5178
0.6695,0.3917,0.5559
0.2993,0.2917,0.1144
0.6167,0.5843,0.4802
0.4042,0.3927,0.0673
1,0.6625,0.723
0.6967,0.8168,0.8072
0.8203,0.6221,0.8205
0.7304,0.6477,0.8794
0.2101,0.2974,0.3269
0.3084,0.7364,0.8815
0.3835,0.4862,0.6434
0.8163,0.7969,0.6727
0.4796,0.6288,0.3629
0.2446,-0.0016,0.1273
0.2941,0.16,0.0908
0.408,0.7333,0.8136
0.5953,0.6718,0.9773
0.3136,1,0.2928
0.0707,0.1158,0.1664
1,0.8552,0.8343
0.6407,0.5751,0.4944
0.5787,0.6026,0.3897
0.6005,0.3659,0.8326
0.2082,0.1609,0.7619
0.6539,0.5649,0.5496
0.6603,0.2353,0.2514
0.7074,0.3808,0.4749
0.259,0.1708,0.1789
0.3343,0.2739,0.2101
0.6572,0.5661,0.5267
0.2319,0.5143,0.6242
0.686,0.5778,0.1369
0.9349,0.7234,0.9312
0.4478,0.221,0.1272
0.2352,0.7458,0.8592
1,0.1584,0.5867
0.6209,0.2456,0.4272
0.8476,0.91,0.9402
0.6157,0.7033,0.7252
0.233,0.0536,0.8438
0.779,0.5161,0.4999
0.6291,0.8507,0.5926
0.3378,0.3976,0.3336
0.5894,0.9764,0.8219
0.5089,0.1612,0.189
0.9555,0.8845,0.8758
0.842,0.5797,0.9932
0.9117,0.1848,0.2662
0.5358,0.8343,0.9392
0.7016,0.805,0.8971
0.3733,0.064,0.7207
0.6039,0.4501,0.3492
0.4647,0.153,0.4315
0.4228,0.4678,0.6953
1,0.857,0.8699
0.6067,0.5876,0.4788
0.2912,0.1355,0.2779
1,0.7256,0.6689
0.2118,0.2548,0.5467
0.1265,0.3862,0.6481
0.9424,0.1252,0.1179
1,0.6608,0.6767
0.7922,0.6197,0.905
0.3486,0.2275,0.4655
0.1806,0.6741,0.2049
0.8913,0.7472,0.8873
0.4651,0.3431,0.439
0.833,0.7511,1
0.8151,0.2988,0.4261
1,0.6664,0.5743
0.4287,0.3532,0.4696
0.0134,0.2289,0.0848
0.6709,0.8131,0.8926
0.7252,0.3061,0.7456
0.7739,0.5272,0.4069
0.8303,0.6673,0.2824
0.7851,0.8255,0.3602
0.5932,0.8357,0.8409
0.4646,0.7677,0.1444
0.2056,0.5383,0.4326
0.1939,0.6598,0.4821
0.8622,0.2063,0.5479
0.566,0.2138,0.6876
0.177,0.0889,0.0769
0.9963,0.7356,0.6005
1,0.5235,0.5603
0.3598,0.2598,0.2498
0.3181,0.5101,0.5641
0.235,0.2996,0.2563
0.7906,0.8122,0.5781
0.384,0.3733,0.4376
0.1789,0.0863,0.09
0.7302,0.6728,0.6997
0.3811,0.2147,0.4469
0.9834,0.3817,0.389
0.6971,0.9533,0.865
0.5032,0.3465,0.2493
0.2257,0.4315,0.0757
0.5963,0.5907,0.48
0.6682,0.3666,0.6833
0.6805,0.9501,0.9285
0.4127,0.6287,0.5431
0.659,0.2415,0.206
0.6586,0.7128,0.4988
0.6763,0.6859,0.7324
0.6168,0.5552,0.7258
0.5687,0.3078,0.2776
0.3782,0.5933,0.8576
0.4101,0.2013,0.4272
0.3475,1,0.7413
0.5173,0.334,0.3119
0.4038,0.2328,0.2884
0.5531,0.0972,0.1692
0.1836,0.9169,0.213
0.252,0.4167,0.3147
0.8536,0.6493,0.442
0.9149,0.9078,0.7693
0.3171,0.2114,0.5677
0.5575,0.5796,0.686
0.5519,0.0889,0.217
0.0612,1,0.1601
1,0.8769,0.3524
0.7675,0.6556,0.7335
0.7524,0.6693,0.6626
0.2605,0.3971,0.483
0.7453,0.6332,0.9323
0.3276,0.7667,0.5785
0.6525,0.4325,0.275
0.7794,0.5185,0.4743
0.2692,0.2941,0.2215
0.6257,0.7004,0.7285
0.3527,0.9953,0.9152
0.2109,0.1646,0.3328
0.0877,0.1221,0.0806
0.4052,0.1478,0.578
0.9227,0.3531,0.8234
0.804,0.5194,0.2948
0.1801,0.4146,0.4391
0.7689,0.5157,0.5485
0.4473,0.7256,0.8271
0.6231,0.4201,0.5354
0.8905,0.9405,0.3075
0.8501,0.794,0.5737
0.5728,0.5821,0.6325
0.3661,0.4989,0.5814
0.2212,0.0258,0.1769
0.2455,0.181,0.1372
0.5361,0.6971,0.9101
0.1812,0.202,0.1475
0.2552,0.5006,0.6944
0.2886,0.2748,0.3451
0.1609,0.5555,0.1865
0.5819,0.5364,0.8929
0.1632,0.5377,0.4795
0.3876,0.764,0.52
0.8107,0.4756,0.669
0.09,0.0762,0.2951
0.4851,0.5899,0.746
0.6477,0.5555,0.6471
0.4716,0.6021,0.6797
0.9269,0.4423,0.2621
0.7493,0.6697,0.6689
0.1495,0.2989,0.391
0.5028,0.1565,0.2616
1,0.3201,0.5033
0.9419,0.9215,0.4237
0.2586,0.2752,0.3995
0.254,0.1604,0.2639
0.7272,0.5247,0.6339
0.8745,0.9023,0.9409
0.1952,0.0626,0.1587
0.1419,0.4327,0.2806
0.133,0.7642,0.7522
1,0.2678,0.5819
0.9029,0.9112,0.7724
0.7177,0.66,0.8284
0.5699,0.9892,0.6955
0.4948,0.6062,0.6013
0.681,0.6698,0.8418
0.7333,0.8048,0.8309
0.1475,0.169,0.3935
0.7013,0.8148,0.8153
0.9065,0.4255,0.5729
0.9488,0.8852,0.889
0.5958,0.2567,0.4773
0.9979,0.7253,0.7008
0.7123,0.5423,0.5463
0.4365,0.1712,0.4581
0.939,0.7734,0.3806
0.8587,0.9216,0.7977
0.1607,0.1004,0.0375
0.455,0.2052,0.8783
0.7669,0.795,0.8352
0.603,0.4259,0.5611
0.8012,0.6493,0.6789
0.5706,0.7072,0.7839
0.7836,0.0036,0.9776
0.5035,0.6025,0.6161
0.4093,0.3588,0.4799
0.1339,0.2074,0.2047
1,0.4314,0.5931
0.2836,0.5062,0.6331
0.2299,0.0169,0.1622
0.6376,0.5665,0.5881
0.6401,0.5903,0.2614
0.5971,0.7128,0.6803
0.9002,0.9207,0.6643
0.1117,0.398,0.594
0.1627,0.0777,0.1912
1,0.7134,0.5276
0.8894,0.6256,0.5373
0.5269,0.4764,0.3903
0.9255,0.9134,0.6596
0.7446,0.0823,0.2803
0.9126,0.768,0.6241
0.2207,0.179,0.2398
0.539,0.1335,0.0658
0.5789,0.4331,0.5843
0.3852,0.1819,0.5396
0.6921,0.4155,0.1943
0.5941,0.8377,0.8209
0.7549,0.9251,1
0.5609,0.2871,0.4591
0.5156,0.3334,0.3266
0.8518,0.6625,0.1369
0.2075,0.4077,0.4671
0.3222,0.1007,0.3076
0.8379,0.8147,0.1848
0.8542,0.2526,0.4218
0.1888,0.4116,0.455
0.9579,0.8921,0.792
0.0953,0.4105,0.5248
0.7452,0.6703,0.676
0.2763,0.1532,0.238
0.6585,0.6839,0.7893
0.5953,0.2993,0.1509
0.1622,0.2052,0.1661
0.0391,0.1228,0.1527
0.6183,0.6014,0.1137
0.5085,0.248,0.7196
0.4014,0.629,0.5609
0.0495,0.2213,0.174
0.9091,0.5968,0.7063
0.8945,0.935,0.4369
0.6626,0.6898,0.7333
0.5826,0.5239,0.9473
0.728,0.9321,1
0.2595,0.1714,0.1717
1,0.6222,0.7713
0.211,0.0346,0.1912
0.7236,0.6741,0.7074
0.883,0.6034,0.7532
-0.0009,0.2215,0.2006
1,0.7291,0.6327
0.678,0.4955,0.9083
0.7123,0.9787,0.4354
0.611,0.4122,0.6193
0.0213,0.4348,0.337
0.9715,0.7011,0.9689
0.1725,0.0855,0.1249
0.8647,0.9051,0.941
0.935,0.3905,0.6322
0.2551,0.0702,0.4863
0.6119,0.4446,0.3714
0.9805,0.7451,0.5682
0.1331,0.0978,0.1659
0.9691,0.2045,0.9967
0.2944,0.8775,0.8138
0.9626,0.884,0.8582
0.518,0.7334,0.6439
0.6497,0.2332,0.3436
0.4593,0.8352,1
0.5287,0.733,0.6262
0.5687,0.5978,0.4927
0.3809,0.7492,0.7063
0.0831,0.22,0.149
0.811,0.6348,0.7611
0.4713,0.5053,0.1873
1,0.626,0.9917
0.3853,0.6258,0.6196
0.4507,0.3638,0.3152
0.6108,0.4599,0.0517
0.6848,0.8418,0.544
0.8666,0.3857,0.8845
0.8507,0.7771,0.7617
0.9848,0.7257,0.7511
0.5674,0.3062,0.3011
0.9737,0.7581,0.4086
0.3402,0.1281,0.0684
0.2066,0.0578,0.1353
0.594,0.84,0.7992
1,0.8269,0.8526
0.2442,0.1724,0.2194
0.9724,0.5473,0.7903
0.3423,0.0873,0.2811
0.6939,0.3844,0.5095
0.5094,0.7334,0.6614
0.5436,0.9751,0.9082
0.3314,0.2444,0.4271
0.5309,0.9696,0.9772
0.3962,0.5023,0.5002
0.6743,0.7014,0.5882
0.7001,0.6947,0.5779
0.5052,0.3842,0.9199
0.1324,0.4393,0.1622
0.2011,0.0168,0.246
0.1459,0.2071,0.1842
0.5829,0.5726,0.6823
0.5989,0.7131,0.6729
0.8245,0.9166,0.9364
0.8268,0.7716,0.8753
0.7269,0.3807,0.3714
0.1814,0.0556,0.2182
0.0736,0.1238,0.0948
0.9005,0.1105,0.5581
0.6612,0.5132,0.8629
0.65,0.7065,0.6059
